author,year,loc,spcd,common_name,sample_size,st_meand_bh,st_mind_bh,st_maxd_bh,lat,lon,prec,lat_lon_der,loc_desc,state
922 White Mountain,,Kearsarge II,316,red maple,9,11.9,5.8,22.6,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,318,sugar maple,4,14.7,12.6,17.6,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,371,yellow birch,8,11.9,7.4,16.2,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,375,paper birch,1,13,13,13,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,531,American beech,3,13.7,10,19.5,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Kearsarge II,541,white ash,1,23.5,23.5,23.5,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,315,striped maple,1,5.7,5.7,5.7,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,316,red maple,1,15,15,15,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,318,sugar maple,11,11.7,5.9,17.2,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,371,yellow birch,6,14,10,17.2,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,375,paper birch,1,8.7,8.7,8.7,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,531,American beech,3,8.9,8.1,10.1,44.2,-71.3,,,White Mountain National Forest,New hampshire
922 White Mountain,,Moose Watch,761,pin cherry,1,8,8,8,44.2,-71.3,,,White Mountain National Forest,New hampshire
Alegria-Small,,1,122,ponderosa pine,29,5.2,2.2,9.1,42,-122.1,0,,41S-6E-1,Oregon
Alegria-Small,,1,202,Douglas-fir,29,5.3,2.2,9,42,-122.1,0,,41S-6E-1,Oregon
Alegria-Sugar,1984,1,117,sugar pine,10,36.7,26.4,50.3,39.8,-122.7,0,,Northern California,California
Alegria-Sugar,1984,10,117,sugar pine,13,35.7,12.7,51.3,40.2,-121.4,0,,Northern California,California
Alegria-Sugar,1984,11,117,sugar pine,1,41.6,41.6,41.6,39.6,-120.4,0,,Northern California,California
Alegria-Sugar,1984,12,117,sugar pine,10,33,22,41.7,39.6,-120.4,0,,Northern California,California
