author,loc,spcd,treeno,branch_id,status,ht,ob_d,len,lenh,lenv,lenmeth,wdbk_gw_sub,wd_gw_sub,bk_gw_sub,wdbk_dw_sub,wd_dw_sub,bk_dw_sub,ind_sub,wdbk_mc_sub,wd_mc_sub,bk_mc_sub,fol_gw_sub,fol_dw_sub,fol_mc_sub,wdbkf_gw,wdbk_gw,wd_gw,bk_gw,fol_gw,wdbk_dw,wdbk_dw_1,wd_dw,bk_dw,fol_dw,cen
VT_COOP-IMP,1402,131,55,10,,11.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,11,,11.9,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,12,,11.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,13,,13.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,14,,13.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,15,,15.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,16,,15.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,17,,16.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,18,,16.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,19,,17.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,20,,17.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,21,,20,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,22,,20,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,23,,21,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,24,,21,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,25,,21.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,26,,21.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,27,,21.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,28,,21.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,29,,24.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,30,,24.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,31,,26.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,32,,26.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,33,,26.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,34,,27.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,35,,27.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,36,1,27.7,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,37,1,27.7,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,38,1,30.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,39,1,30.1,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,40,1,31.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,41,1,32.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,42,1,32.7,1.15,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,43,1,32.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,44,1,32.7,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,45,1,34.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,46,1,35.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,47,1,35.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,48,1,36.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,49,1,36.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,50,1,37.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,51,1,37.5,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,52,1,37.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,53,1,37.5,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,54,1,39.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,55,1,40.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,56,1,40.5,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,57,1,40.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,58,1,41.1,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,59,1,41.1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,60,1,41.1,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,61,1,41.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,62,1,44.2,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,63,1,44.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,64,1,44.2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,65,1,45.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,66,1,45.3,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,67,1,45.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,68,1,45.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,69,1,47.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,70,1,49,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,71,1,49,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,72,1,49,0.9,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,73,1,49.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,74,1,49.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,75,1,51.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,76,1,51.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,77,1,51.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,55,78,1,53.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,1,,8.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,2,,10,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,3,,10.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,4,,14.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,5,,14.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,6,,16.8,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,7,,16.8,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,8,,16.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,9,,16.8,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,10,,18.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,11,,19.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,12,,19.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,13,,21,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,14,,21,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,15,,22.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,16,,22.8,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,17,,22.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,18,,22.8,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,19,,24.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,20,,24.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,21,,25,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,22,,25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,23,,25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,24,,26.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,25,,26.2,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,26,,26.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,27,,26.2,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,28,,27.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,29,,27.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,30,,27.5,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,31,1,28.6,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,32,,28.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,33,,28.6,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,34,,29,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,35,,29,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,36,,30.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,37,,30.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,38,,31.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,39,,31.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,40,,31.5,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,41,,32.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,42,,32.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,43,,32.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,44,,32.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,45,1,33.5,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,46,1,33.5,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT_COOP-IMP,1402,131,69,47,1,33.5,0.9,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
