author,loc,spcd,treeno,section_id,ob_d_bot,ob_d_top,ib_d_bot,ib_d_top,len,ht,wdbk_gw,wd_gw,bk_gw,wdbk_dw,wd_dw,bk_dw,wdbk_cv,wd_cv,bk_cv,cen,wd_def1d_1,wd_def1d_2,wd_def1len,wd_def1cl,wd_def2cl,wd_def2d_1,wd_def2d_2,wd_def2len,wd_def3cl_1,wd_def3d_1,wd_def3d_2,wd_def3len,wdbk_d_kerf,wdbk_wid_kerf,wdbk_gw_kerf,wdbk_ar,wd_ar
Baldwin,1,131,105,12,13.3,12.3,12.6,11.4,5.5,49.5,310.8,292.08,18.72,157.13,148.3,8.83,4.92,4.33,0.59,1,,,,,,,,,,,,,,,,18.43,17.28
Baldwin,1,131,105,13,12.3,11.5,11.4,10.8,4,55,200.3,189.26,11.04,93.36,87.93,5.43,3.09,2.69,0.4,1,,,,,,,,,,,,,,,,12.46,11.62
Baldwin,1,131,105,14,11.5,9.7,10.8,9,6,59,247.2,235.51,11.69,114.26,107.84,6.43,3.7,3.23,0.47,1,,,,,,,,,,,,,,,,16.65,15.55
Baldwin,1,131,105,15,9.7,8.2,9,7.7,5,65,157.7,145.98,11.72,72.43,67.31,5.12,2.2,1.91,0.29,1,,,,,,,,,,,,,,,,11.72,10.93
Baldwin,1,131,105,16,8.2,6.9,7.7,6.4,4.5,70,88.4,81.26,7.14,41.47,38.42,3.05,1.41,1.23,0.18,1,,,,,,,,,,,,,,,,8.89,8.31
Baldwin,1,131,105,17,6.9,4.5,6.4,4.2,5,74.5,66.2,60.33,5.87,29.51,27.07,2.45,0.93,0.8,0.13,1,,,,,,,,,,,,,,,,7.46,6.94
Baldwin,1,131,105,18,4.5,2.5,4.2,2.2,5,79.5,27.6,24.62,2.98,12.05,10.98,1.07,0.36,0.31,0.05,1,,,,,,,,,,,,,,,,4.58,4.19
Baldwin,1,131,105,19,2.5,0,2.2,0,6.5,84.5,4.7,4.14,0.56,1.9,1.71,0.2,0.07,0.06,0.02,1,,,,,,,,,,,,,,,,2.13,1.87
Baldwin,1,131,106,1,17.5,15.4,15.9,14.4,1.5,0.5,122.3,113.57,8.73,82.21,76.77,5.44,2.22,1.88,0.34,1,,,,,,,,,,,,,,,,6.46,5.95
Baldwin,1,131,106,2,15.4,14.5,14.4,13.6,2.5,2,159.6,149.02,10.58,97.89,92.26,5.63,3.05,2.67,0.38,1,,,,,,,,,,,,,,,,9.78,9.16
Baldwin,1,131,106,3,14.5,13.7,13.6,13.2,5,4.5,301.6,285.34,16.26,184.38,175,9.38,5.43,4.9,0.53,1,,,,,,,,,,,,,,,,18.46,17.54
Baldwin,1,131,106,4,13.7,13,13.2,12.5,5,9.5,283.4,268.3,15.1,173.67,166.55,7.11,4.86,4.51,0.36,1,,,,,,,,,,,,,,,,17.48,16.82
Baldwin,1,131,106,5,13,12.8,12.5,12.2,5,14.5,260.6,245.89,14.71,157.17,149.38,7.78,4.54,4.16,0.38,1,,,,,,,,,,,,,,,,16.89,16.17
Baldwin,1,131,106,6,12.8,12.2,12.2,11.8,5,19.5,244,229.9,14.1,141.42,134.76,6.66,4.26,3.93,0.34,1,,,,,,,,,,,,,,,,16.36,15.71
Baldwin,1,131,106,7,12.2,12,11.8,11.3,5,24.5,223.4,210.26,13.14,123.27,118.4,4.87,3.99,3.64,0.35,1,,,,,,,,,,,,,,,,15.84,15.12
Baldwin,1,131,106,8,12,11.4,11.3,10.8,5,29.5,201.8,190.37,11.43,118.02,112.7,5.32,3.74,3.33,0.4,1,,,,,,,,,,,,,,,,15.32,14.46
Baldwin,1,131,106,9,11.4,10.8,10.8,10.3,5,34.5,208.5,197.36,11.14,116.05,111.18,4.87,3.36,3.04,0.33,1,,,,,,,,,,,,,,,,14.53,13.81
Baldwin,1,131,106,10,10.8,10.3,10.3,9.8,5,39.5,169.3,159.18,10.12,93.39,88.47,4.93,3.04,2.76,0.28,1,,,,,,,,,,,,,,,,13.81,13.16
Baldwin,1,131,106,11,10.3,9.9,9.8,9.5,5,44.5,155,145.83,9.17,79.16,75.11,4.05,2.78,2.54,0.24,1,,,,,,,,,,,,,,,,13.22,12.63
Baldwin,1,131,106,12,9.9,9.2,9.5,8.9,5,49.5,161.5,151.78,9.72,83.02,78.64,4.38,2.49,2.31,0.18,1,,,,,,,,,,,,,,,,12.5,12.04
Baldwin,1,131,106,13,9.2,8.9,8.9,8.4,5,54.5,143.3,134.57,8.73,68.23,64.48,3.75,2.23,2.04,0.19,1,,,,,,,,,,,,,,,,11.85,11.32
Baldwin,1,131,106,14,8.9,8.1,8.4,7.6,4.5,59.5,120.5,111.57,8.93,58.34,54.76,3.58,1.78,1.57,0.2,1,,,,,,,,,,,,,,,,10.01,9.42
